kuhmo	x100	y100	ano	wno
96398	3612650	7087950	1	1
96029	3612750	7088050	6	4
96028	3612650	7088050	61	2
96027	3612550	7088050	6	0
95661	3612950	7088150	0	0
95660	3612850	7088150	0	0
95657	3612550	7088150	3	1
95290	3612850	7088250	0	0
95286	3612450	7088250	3	8
95285	3612350	7088250	3	5
94917	3612550	7088350	0	0
94912	3612050	7088350	0	0
94549	3612750	7088450	0	0
94547	3612550	7088450	0	0
94546	3612450	7088450	0	0
94545	3612350	7088450	0	0
94541	3611950	7088450	4	1
94176	3612450	7088550	0	0
94174	3612250	7088550	0	0
94173	3612150	7088550	0	0
94172	3612050	7088550	0	0
93803	3612150	7088650	0	0
93802	3612050	7088650	0	0
93801	3611950	7088650	0	0
93433	3612150	7088750	0	0
93430	3611850	7088750	0	0
93064	3612250	7088850	1	0
93063	3612150	7088850	0	0
93061	3611950	7088850	0	0
93052	3611050	7088850	0	0
93049	3610750	7088850	0	0
92696	3612450	7088950	0	2
92695	3612350	7088950	0	1
92694	3612250	7088950	1	1
92693	3612150	7088950	2	1
92687	3611550	7088950	4	8
92686	3611450	7088950	6	2
92679	3610750	7088950	0	0
92333	3613150	7089050	6	0
92332	3613050	7089050	21	7
92331	3612950	7089050	20	1
92330	3612850	7089050	20	0
92329	3612750	7089050	48	0
92325	3612350	7089050	13	6
92324	3612250	7089050	2	6
92323	3612150	7089050	1	2
92321	3611950	7089050	3	1
92320	3611850	7089050	1	1
92319	3611750	7089050	1	0
92317	3611550	7089050	1	1
92316	3611450	7089050	4	2
92315	3611350	7089050	0	0
92310	3610850	7089050	0	1
92308	3610650	7089050	2	0
92307	3610550	7089050	0	0
92306	3610450	7089050	0	0
92305	3610350	7089050	1	0
92304	3610250	7089050	0	0
92297	3609550	7089050	0	0
91964	3613250	7089150	1	4
91962	3613050	7089150	15	2
91961	3612950	7089150	3	0
91960	3612850	7089150	0	0
91958	3612650	7089150	8	1
91952	3612050	7089150	0	0
91951	3611950	7089150	7	2
91950	3611850	7089150	9	1
91948	3611650	7089150	5	4
91947	3611550	7089150	0	2
91946	3611450	7089150	0	0
91944	3611250	7089150	2	0
91939	3610750	7089150	0	0
91938	3610650	7089150	1	1
91937	3610550	7089150	1	2
91936	3610450	7089150	0	0
91935	3610350	7089150	2	1
91934	3610250	7089150	1	2
91930	3609850	7089150	0	0
91928	3609650	7089150	0	0
91927	3609550	7089150	0	0
91926	3609450	7089150	0	2
91922	3609050	7089150	0	0
91910	3607850	7089150	0	2
91909	3607750	7089150	4	2
91908	3607650	7089150	2	3
91907	3607550	7089150	3	0
91906	3607450	7089150	1	0
91905	3607350	7089150	13	4
91904	3607250	7089150	0	1
91596	3613450	7089250	30	1
91595	3613350	7089250	6	1
91594	3613250	7089250	2	0
91593	3613150	7089250	0	0
91591	3612950	7089250	17	3
91590	3612850	7089250	16	2
91589	3612750	7089250	5	0
91587	3612550	7089250	6	0
91586	3612450	7089250	3	0
91579	3611750	7089250	3	1
91578	3611650	7089250	5	0
91577	3611550	7089250	6	3
91576	3611450	7089250	4	6
91573	3611150	7089250	0	0
91567	3610550	7089250	1	0
91566	3610450	7089250	1	1
91558	3609650	7089250	0	0
91557	3609550	7089250	0	0
91556	3609450	7089250	1	1
91555	3609350	7089250	0	0
91551	3608950	7089250	0	0
91538	3607650	7089250	6	4
91537	3607550	7089250	0	2
91536	3607450	7089250	3	4
91535	3607350	7089250	26	5
91534	3607250	7089250	12	8
91533	3607150	7089250	3	1
91232	3614050	7089350	26	2
91231	3613950	7089350	31	4
91230	3613850	7089350	41	5
91229	3613750	7089350	37	0
91225	3613350	7089350	31	5
91224	3613250	7089350	29	0
91223	3613150	7089350	4	0
91222	3613050	7089350	1	0
91221	3612950	7089350	0	1
91220	3612850	7089350	6	1
91219	3612750	7089350	69	4
91218	3612650	7089350	43	0
91217	3612550	7089350	7	5
91216	3612450	7089350	19	2
91215	3612350	7089350	17	3
91214	3612250	7089350	16	0
91212	3612050	7089350	0	0
91211	3611950	7089350	10	3
91210	3611850	7089350	1	4
91209	3611750	7089350	1	4
91208	3611650	7089350	1	4
91207	3611550	7089350	4	8
91204	3611250	7089350	0	0
91201	3610950	7089350	1	0
91196	3610450	7089350	6	5
91195	3610350	7089350	0	2
91192	3610050	7089350	0	0
91186	3609450	7089350	0	0
91181	3608950	7089350	2	0
91180	3608850	7089350	2	0
91169	3607750	7089350	10	1
91168	3607650	7089350	11	4
91165	3607350	7089350	6	2
91164	3607250	7089350	6	4
91163	3607150	7089350	7	1
90861	3613950	7089450	16	2
90860	3613850	7089450	23	4
90859	3613750	7089450	12	1
90858	3613650	7089450	9	4
90853	3613150	7089450	20	1
90852	3613050	7089450	1	0
90851	3612950	7089450	0	1
90850	3612850	7089450	41	3
90848	3612650	7089450	20	2
